"do_grid","loglik","loglik_se","rho_value"
NA,NA,NA,NA
292,-1476.69488070127,0.233257405761872,0.232002671072618
263,-1479.12317057305,0.244958156695511,0.219631635641783
490,-1463.1257206034,0.520362694032683,0.316466981945216
492,-1469.5640514212,0.494517366375818,0.317320156802515
486,-1467.63015973108,0.133857799708358,0.314760632230618
491,-1461.00826565014,0.725245884526203,0.316893569373866
487,-1463.57437047223,0.46654499096633,0.315187219659268
493,-1464.78903898298,0.477444369301567,0.317746744231165
489,-1464.9982874226,0.16477207626726,0.316040394516567
149,-1550.0686552019,4.06630305317372,0.171000668775741
272,-1484.57827095795,0.372146066535491,0.223470922499628
488,-1466.99851665524,0.315900483323776,0.315613807087917
368,-1457.30159543076,0.161020728130403,0.264423315649979
327,-1464.90235669671,0.248247038592541,0.24693323107535
148,-1535.46043973231,1.28946851067807,0.170574081347092
365,-1456.86332750703,0.137415594999968,0.26314355336403
361,-1454.86597288261,0.20782743554589,0.261437203649432
485,-1469.53641248183,0.629861301520789,0.314334044801969
363,-1460.263855179,0.125099840346463,0.262290378506731
325,-1468.51631912218,0.191397404277104,0.246080056218051
521,-1463.56609213505,0.262236743065412,0.32969119223335
328,-1463.37271194947,0.143081858412723,0.247359818503999
484,-1462.27556528331,0.146786760160617,0.313907457373319
522,-1467.56168692897,0.399681031286229,0.330117779662
280,-1479.68174338039,0.226601391367576,0.226883621928824
350,-1469.33013218535,0.266768171122584,0.256744741934288
283,-1472.60211248121,0.221724644012355,0.228163384214772
275,-1476.35701283625,0.342584303289957,0.224750684785576
122,-1574.59309244399,10.0404236862681,0.159482808202205
279,-1494.58058700181,0.328014256334246,0.226457034500174
347,-1462.70251326474,0.268651862666026,0.255464979648339
326,-1459.78701606871,0.195380201993726,0.2465066436467
323,-1465.37155183261,0.171007338368884,0.245226881360752
520,-1464.25150573604,0.188400197528055,0.329264604804701
147,-1557.34983852903,1.13922509955131,0.170147493918442
336,-1466.98918970418,0.220071838594785,0.250772517933195
362,-1459.61013864533,0.144847956089347,0.261863791078082
277,-1482.69968608799,0.442416150537373,0.225603859642875
276,-1476.41980058691,0.151879027164134,0.225177272214226
344,-1468.75996469308,0.268285163548165,0.254185217362391
274,-1478.93833360617,0.381322971872683,0.224324097356927
333,-1468.81028179358,0.23557946231062,0.249492755647247
258,-1499.245944856,0.424097544768617,0.217498698498535
348,-1457.56549361382,0.262265357698834,0.255891567076989
324,-1470.49153298595,0.246936366580452,0.245653468789401
120,-1562.24999475829,0.776693336974098,0.158629633344906
345,-1462.05786057308,0.216084609281454,0.254611804791041
367,-1458.31477260585,0.147217250936623,0.263996728221329
524,-1465.8563774223,0.2035185326629,0.330970954519299
366,-1457.35031807871,0.376693740235095,0.26357014079268
346,-1462.28975781248,0.363693949944776,0.25503839221969
359,-1467.7265824061,0.410964125648243,0.260584028792133
281,-1483.43179513661,0.314221977363825,0.227310209357473
515,-1465.64650794196,0.227525098595568,0.327131667661453
507,-1466.84406432964,0.30465164230858,0.323718968232257
523,-1466.94196836765,0.156705510117529,0.330544367090649
121,-1551.93714930113,4.75360200039981,0.159056220773555
329,-1462.74562484648,0.19357168421445,0.247786405932649
519,-1464.66404524774,0.229592402647702,0.328838017376051
349,-1465.11604743277,0.190041694613275,0.256318154505638
334,-1465.22684925037,0.359282346504666,0.249919343075896
517,-1469.12553145507,0.437564295830585,0.327984842518752
511,-1467.66301875678,0.0910495967632247,0.325425317946855
257,-1491.97695098234,0.166797487036522,0.217072111069886
497,-1466.97308632143,0.161242207123083,0.319453093945763
332,-1466.57324312869,0.368549261063979,0.249066168218597
335,-1468.23290224293,0.322868890375211,0.250345930504546
322,-1461.42556046544,0.162728296971493,0.244800293932102
482,-1463.91497220175,0.493531179580282,0.31305428251602
508,-1461.31483949601,0.14135944898789,0.324145555660907
267,-1481.04286391016,0.203366041240246,0.221337985356381
278,-1478.60403211093,0.200125226238814,0.226030447071525
256,-1487.34502641987,0.268667096943416,0.216645523641236
525,-1469.46753534612,0.33774101743173,0.331397541947948
262,-1494.0297960241,0.389541951970707,0.219205048213133
321,-1464.48625464273,0.123406225223757,0.244373706503453
265,-1485.56433384039,0.270656075514683,0.220484810499082
286,-1475.75963950045,0.138084902312757,0.229443146500721
364,-1460.05177554528,0.287713280602034,0.262716965935381
260,-1489.9560484022,0.325386932156164,0.218351873355834
331,-1473.67897418471,0.342773133018583,0.248639580789948
516,-1469.62078108287,0.227515572043072,0.327558255090103
282,-1482.14454412306,0.225457434796978,0.227736796786123
291,-1479.65059000338,0.199409918760916,0.231576083643968
289,-1477.97495799463,0.301265281369862,0.230722908786669
180,-1550.48141653742,8.6395329814392,0.184224879063875
506,-1465.08910953148,0.146478097989609,0.323292380803608
503,-1465.52401748409,0.521956199532618,0.322012618517659
288,-1474.92050384364,0.218839034520837,0.23029632135802
285,-1475.32713616371,0.191723481645692,0.229016559072071
261,-1492.28077845256,0.274769508930192,0.218778460784484
179,-1515.61826667778,2.39491126928343,0.183798291635226
500,-1463.16800411392,0.118965050174038,0.320732856231711
510,-1468.31259937553,0.387015980130803,0.324998730518206
495,-1462.14637308783,0.419563466107899,0.318599919088464
502,-1470.1248079657,0.272190855493558,0.32158603108901
498,-1463.29690412053,0.223637173310766,0.319879681374412
518,-1465.24688335522,0.41882157078902,0.328411429947402
512,-1471.11498551517,0.374068373670275,0.325851905375505
514,-1464.96000035159,0.562832920359863,0.326705080232804
504,-1465.19472248874,0.120736619556507,0.322439205946309
339,-1467.49630741763,0.361018841465339,0.252052280219144
494,-1461.04599663408,0.137227468795962,0.318173331659814
360,-1459.74034873198,0.166763320122071,0.261010616220783
499,-1464.86828692972,0.210528377439349,0.320306268803062
273,-1484.74610448175,0.260231309359563,0.223897509928277
501,-1461.17195462971,0.164036180364759,0.321159443660361
496,-1463.92872134774,0.552467488818274,0.319026506517113
483,-1462.8949513835,0.353609594278296,0.31348086994467
178,-1586.54041959142,0.645002495362891,0.183371704206576
259,-1491.10755120877,0.352115317129699,0.217925285927185
353,-1459.72332480729,0.152547789255657,0.258024504220236
338,-1462.86354496727,0.256715316489275,0.251625692790494
358,-1458.60061205895,0.196729122650296,0.260157441363484
505,-1459.47472724162,0.290458857041265,0.322865793374958
270,-1484.95189198162,0.172677060117596,0.222617747642329
352,-1463.78092092674,0.263567787741846,0.257597916791587
474,-1461.06654595737,0.285422587684653,0.309641583086824
467,-1465.13221187708,0.205037116053274,0.306655471086278
67,-1636.86988227284,4.34778612721121,0.136020499626483
509,-1463.00086838328,0.211733957916216,0.324572143089556
271,-1487.85093431189,0.692349126796788,0.223044335070978
337,-1466.32628483391,1.1546696030529,0.251199105361845
342,-1462.77651382884,0.170967060489695,0.253332042505092
356,-1458.22670717384,0.209244238612469,0.259304266506185
471,-1465.87033831309,0.184618953462157,0.308361820800876
284,-1482.26213610408,0.356006706328358,0.228589971643422
215,-1527.96081409662,0.467255327551714,0.199155439066607
287,-1476.4409950547,0.211331363425056,0.22986973392937
354,-1459.92778691895,0.193612524651314,0.258451091648886
357,-1463.92834875264,0.654050314902598,0.259730853934834
476,-1462.09627797618,0.135064254212393,0.310494757944123
469,-1466.40455738257,0.395221451243869,0.307508645943577
218,-1509.30182358716,0.373916758950606,0.200435201352556
216,-1525.36663171638,0.681474109461651,0.199582026495257
340,-1458.63001029538,0.141122665290799,0.252478867647793
32,-1683.28549880618,3.70352506666302,0.121089939623751
355,-1463.10009124002,0.248841100557898,0.258877679077535
343,-1465.35789804213,0.263462409791639,0.253758629933742
466,-1461.8990530712,0.537472967898251,0.306228883657628
481,-1466.13588332422,0.300814323821232,0.312627695087371
222,-1507.30367320528,0.716322137993409,0.202141551067154
470,-1464.30634902462,0.280452966527143,0.307935233372226
