"do_grid","loglik","loglik_se","value","parameter"
NA,NA,NA,NA,NA
999,-3054.579815946,5.10467707064384,0.658843236335385,"rho"
1000,-1858.08401030768,73.0945256842759,0.261530783942303,"rho"
547,-5248.24124844424,10.9152223117654,0.745533522312782,"rho"
747,-5248.24124844424,10.9152223117654,0.745533522312782,"rho"
537,-4729.49204273462,13.0011065254217,0.466910020795989,"rho"
947,-5248.24124844424,10.9152223117654,0.745533522312782,"rho"
147,-5248.24124844424,10.9152223117654,0.745533522312782,"rho"
539,-2111.83499050998,190.502871128412,0.483173336356543,"rho"
542,-2244.30797641281,46.6601835354568,0.428759584439551,"rho"
541,-2911.35142261281,12.6617493878003,0.443924597085173,"rho"
533,-1719.56248385193,58.0069297183822,0.346249492440509,"rho"
538,-2465.79006553944,5.24456354830371,0.307730896530758,"rho"
799,-3054.579815946,5.10467707064384,0.658843236335385,"rho"
137,-4729.49204273462,13.0011065254217,0.466910020795989,"rho"
672,-2309.04529477536,46.0229666324262,0.389632407204576,"rho"
832,-1950.9384394991,93.6485011393252,0.514452028726334,"rho"
347,-5248.24124844424,10.9152223117654,0.745533522312782,"rho"
810,-1915.28806543295,30.4404841250605,0.370025818367026,"rho"
545,-1947.01838949466,17.7441688139908,0.328459535967297,"rho"
668,-2029.53499998159,89.1902947782486,0.395571063340369,"rho"
544,-1951.61725889071,11.8912396315859,0.328597297818769,"rho"
665,-2436.0668364007,102.148877443795,0.390557062380625,"rho"
807,-2544.56354895772,47.071448760396,0.369399979897656,"rho"
812,-1910.51104755479,43.6498708642651,0.352406816332569,"rho"
834,-2226.70383221644,9.05311453153135,0.439690468227327,"rho"
842,-2900.67650200683,6.12637327643585,0.448090315648777,"rho"
618,-3087.20769396833,19.9935354609225,0.383951901386092,"rho"
835,-3160.68199653387,21.5947525312754,0.522684601786874,"rho"
635,-3160.68199653387,21.5947525312754,0.522684601786874,"rho"
833,-3183.37456686735,96.8626269746096,0.39588423524769,"rho"
660,-2296.87356475646,45.0299158327143,0.540852195715204,"rho"
671,-2233.80734873371,9.86276536386785,0.338837280187353,"rho"
543,-1667.08890999898,15.4647222345887,0.332295487078056,"rho"
813,-1758.66829879292,23.5228197029229,0.326555845054944,"rho"
242,-2900.67650200683,6.12637327643585,0.448090315648777,"rho"
607,-2544.56354895772,47.071448760396,0.369399979897656,"rho"
612,-1910.51104755479,43.6498708642651,0.352406816332569,"rho"
562,-3021.32811583883,0.902463684408266,0.567206123039474,"rho"
642,-2900.67650200683,6.12637327643585,0.448090315648777,"rho"
535,-1534.14546558523,8.31144108584956,0.209138190019141,"rho"
249,-2085.79082225698,104.079896005099,0.384703641387479,"rho"
750,-1946.41390419537,11.3069229905345,0.379478611598198,"rho"
831,-2044.26301926569,95.9653546421823,0.40475988557314,"rho"
610,-1915.28806543295,30.4404841250605,0.370025818367026,"rho"
564,-2202.16167325099,5.53658557131015,0.553022455078581,"rho"
21,-2130.58799231891,19.4096480795694,0.373438052742023,"rho"
670,-2263.58080907602,1.62965555031508,0.339448890144274,"rho"
18,-3087.20769396833,19.9935354609225,0.383951901386092,"rho"
139,-2111.83499050998,190.502871128412,0.483173336356543,"rho"
98,-3225.59062556256,8.77861925647927,0.451309224675636,"rho"
599,-3054.579815946,5.10467707064384,0.658843236335385,"rho"
698,-3225.59062556256,8.77861925647927,0.451309224675636,"rho"
675,-1702.23901631444,42.9048558277378,0.314546920023938,"rho"
251,-2015.3483546725,1.00343718964989,0.340138917413055,"rho"
22,-2026.76196502424,90.6368365073057,0.349720403106844,"rho"
362,-3021.32811583883,0.902463684408266,0.567206123039474,"rho"
540,-1514.39347377546,4.52622115130223,0.247043817911191,"rho"
699,-2876.07084732945,8.83321537538654,0.438158855950831,"rho"
926,-2075.31925228595,51.5122213185104,0.462154034365964,"rho"
754,-2482.93211745294,13.1192719971846,0.292660209210079,"rho"
435,-3160.68199653387,21.5947525312754,0.522684601786874,"rho"
666,-1701.66774717807,27.5721795597728,0.307199285994081,"rho"
757,-1992.8305903884,4.32515815374438,0.361425304980811,"rho"
667,-1716.51352177861,14.7515027788424,0.30630677541457,"rho"
164,-2202.16167325099,5.53658557131015,0.553022455078581,"rho"
808,-1558.11087470867,15.285467728409,0.28961643301092,"rho"
663,-2414.96329712849,19.401096426347,0.298275390171173,"rho"
803,-1611.35645013174,7.16242064629777,0.306869232979946,"rho"
613,-1758.66829879292,23.5228197029229,0.326555845054944,"rho"
364,-2202.16167325099,5.53658557131015,0.553022455078581,"rho"
162,-3021.32811583883,0.902463684408266,0.567206123039474,"rho"
662,-1929.69468637241,30.956767898051,0.416536398423668,"rho"
106,-2058.12929467935,12.4294622624636,0.45939517088777,"rho"
245,-2069.5597690765,39.154837134791,0.320727490165142,"rho"
860,-2296.87356475646,45.0299158327143,0.540852195715204,"rho"
971,-2516.77641639755,65.1635549453684,0.465458278576937,"rho"
111,-2615.85594670389,6.83377278468113,0.33604968090561,"rho"
923,-2871.36517915062,56.6236278157996,0.398250377614291,"rho"
760,-1882.29157079022,16.1051471821989,0.328478294328319,"rho"
950,-1946.41390419537,11.3069229905345,0.379478611598198,"rho"
554,-2482.93211745294,13.1192719971846,0.292660209210079,"rho"
608,-1558.11087470867,15.285467728409,0.28961643301092,"rho"
748,-1587.66935749697,2.2465343597347,0.283246760396899,"rho"
782,-2647.23223835925,45.7103384828628,0.424363437009052,"rho"
703,-2169.80083675777,51.244466498501,0.341519907318551,"rho"
920,-2272.54973970907,70.2222055903418,0.371067774210609,"rho"
138,-2465.79006553944,5.24456354830371,0.307730896530758,"rho"
937,-4729.49204273462,13.0011065254217,0.466910020795989,"rho"
789,-1804.33634609828,8.78762167216337,0.393367968265796,"rho"
241,-1914.25194045924,18.1250087733865,0.312869907939644,"rho"
669,-2204.29800404225,19.9677103070689,0.275894641991775,"rho"
737,-4729.49204273462,13.0011065254217,0.466910020795989,"rho"
298,-3225.59062556256,8.77861925647927,0.451309224675636,"rho"
917,-2448.06778569866,6.54480843300801,0.403952399561105,"rho"
399,-3054.579815946,5.10467707064384,0.658843236335385,"rho"
142,-2244.30797641281,46.6601835354568,0.428759584439551,"rho"
787,-2313.17176577124,49.1399769499469,0.415707823559119,"rho"
131,-1837.50560124677,34.6943662737912,0.304399549888865,"rho"
753,-1583.05681796562,1.97872119938807,0.286780430065265,"rho"
898,-3225.59062556256,8.77861925647927,0.451309224675636,"rho"
442,-2900.67650200683,6.12637327643585,0.448090315648777,"rho"
924,-1914.44030722877,6.7203048945131,0.379592651310855,"rho"
73,-2325.85595669,23.3157079160096,0.45353797779713,"rho"
250,-2266.97724412787,3.84921399891,0.321024411877162,"rho"
657,-2182.29964170088,41.3738434854788,0.355655058189331,"rho"
306,-2058.12929467935,12.4294622624636,0.45939517088777,"rho"
247,-1674.77417841143,2.25696729710499,0.28260733910862,"rho"
526,-2075.31925228595,51.5122213185104,0.462154034365964,"rho"
788,-1762.60636907669,18.8428413877019,0.352107436397087,"rho"
776,-2240.28829762192,13.1104462647866,0.39879432617264,"rho"
630,-4187.67046492569,5.45090155177923,0.446344407810455,"rho"
915,-2311.65837307561,70.004586953647,0.385433898443376,"rho"
473,-2325.85595669,23.3157079160096,0.45353797779713,"rho"
726,-2075.31925228595,51.5122213185104,0.462154034365964,"rho"
795,-2127.6996481349,52.6601392528986,0.284641418074319,"rho"
899,-2876.07084732945,8.83321537538654,0.438158855950831,"rho"
133,-1719.56248385193,58.0069297183822,0.346249492440509,"rho"
697,-2269.66872828725,57.5518307568781,0.347318781649626,"rho"
221,-2130.58799231891,19.4096480795694,0.373438052742023,"rho"
97,-2269.66872828725,57.5518307568781,0.347318781649626,"rho"
868,-2029.53499998159,89.1902947782486,0.395571063340369,"rho"
299,-2876.07084732945,8.83321537538654,0.438158855950831,"rho"
30,-4187.67046492569,5.45090155177923,0.446344407810455,"rho"
918,-2120.76589951189,45.1114744779039,0.349928846768272,"rho"
418,-3087.20769396833,19.9935354609225,0.383951901386092,"rho"
641,-1914.25194045924,18.1250087733865,0.312869907939644,"rho"
972,-3815.25573296066,33.8713393843556,0.397819342479013,"rho"
218,-3087.20769396833,19.9935354609225,0.383951901386092,"rho"
536,-3257.69262494702,4.2007248172065,0.14363595289056,"rho"
72,-2309.04529477536,46.0229666324262,0.389632407204576,"rho"
982,-2647.23223835925,45.7103384828628,0.424363437009052,"rho"
141,-2911.35142261281,12.6617493878003,0.443924597085173,"rho"
472,-2309.04529477536,46.0229666324262,0.389632407204576,"rho"
674,-1557.15172694701,2.50423701654578,0.230805656233801,"rho"
222,-2026.76196502424,90.6368365073057,0.349720403106844,"rho"
651,-2015.3483546725,1.00343718964989,0.340138917413055,"rho"
273,-2325.85595669,23.3157079160096,0.45353797779713,"rho"
872,-2309.04529477536,46.0229666324262,0.389632407204576,"rho"
557,-1992.8305903884,4.32515815374438,0.361425304980811,"rho"
948,-1587.66935749697,2.2465343597347,0.283246760396899,"rho"
945,-1947.01838949466,17.7441688139906,0.328459535967297,"rho"
691,-1674.71713992246,47.4843562905304,0.318949211742528,"rho"
781,-1766.8349875846,8.34117764197387,0.357365720276839,"rho"
944,-1951.61725889071,11.8912396315859,0.328597297818769,"rho"
410,-1915.28806543295,30.4404841250605,0.370025818367026,"rho"
653,-1861.50839737649,38.8703555812493,0.317893131801725,"rho"
755,-1608.80638629763,0.83093439243536,0.270432831898859,"rho"
337,-4729.49204273462,13.0011065254217,0.466910020795989,"rho"
976,-2240.28829762192,13.1104462647866,0.39879432617264,"rho"
230,-4187.67046492569,5.45090155177923,0.446344407810455,"rho"
553,-1583.05681796562,1.97872119938807,0.286780430065265,"rho"
943,-1667.08890999898,15.4647222345887,0.332295487078056,"rho"
32,-1950.9384394991,93.6485011393252,0.514452028726334,"rho"
664,-1552.89776446985,5.60955324358828,0.218588011999804,"rho"
809,-1481.55496835645,0.612544342598304,0.218935778105228,"rho"
407,-2544.56354895772,47.071448760396,0.369399979897656,"rho"
382,-2647.23223835925,45.7103384828628,0.424363437009052,"rho"
51,-2015.3483546725,1.00343718964989,0.340138917413055,"rho"
806,-1486.73509226089,1.43308460941123,0.226381945008246,"rho"
587,-2313.17176577124,49.1399769499469,0.415707823559119,"rho"
645,-2069.5597690765,39.154837134791,0.320727490165142,"rho"
906,-2058.12929467935,12.4294622624636,0.45939517088777,"rho"
792,-1666.33100601,4.70779678714251,0.274584757618336,"rho"
724,-1914.44030722877,6.7203048945131,0.379592651310855,"rho"
412,-1910.51104755479,43.6498708642651,0.352406816332569,"rho"
659,-1899.68970307503,11.1886680711148,0.344833861143718,"rho"
758,-1849.8029969944,9.86048856998945,0.269773569813932,"rho"
801,-2006.64447905271,12.0368019157431,0.308269016502022,"rho"
272,-2309.04529477536,46.0229666324262,0.389632407204576,"rho"
326,-2075.31925228595,51.5122213185104,0.462154034365964,"rho"
523,-2871.36517915062,56.6236278157996,0.398250377614291,"rho"
720,-2272.54973970907,70.2222055903418,0.371067774210609,"rho"
811,-1503.89834760354,1.86124090346397,0.191341643897212,"rho"
954,-2482.93211745294,13.1192719971846,0.292660209210079,"rho"
953,-1583.05681796562,1.97872119938807,0.286780430065265,"rho"
862,-1929.69468637241,30.956767898051,0.416536398423668,"rho"
655,-2014.75099504628,18.58060314287,0.251764674731708,"rho"
779,-2065.35092569141,6.12620470881533,0.359372643351372,"rho"
632,-1950.9384394991,93.6485011393252,0.514452028726334,"rho"
534,-1614.72426777783,1.39690297444221,0.108322023728576,"rho"
981,-1766.8349875846,8.34117764197387,0.357365720276839,"rho"
187,-2313.17176577124,49.1399769499469,0.415707823559119,"rho"
468,-2029.53499998159,89.1902947782486,0.395571063340369,"rho"
524,-1914.44030722877,6.7203048945131,0.379592651310855,"rho"
145,-1947.01838949466,17.7441688139908,0.328459535967297,"rho"
865,-2436.0668364007,102.148877443795,0.390557062380625,"rho"
582,-2647.23223835925,45.7103384828628,0.424363437009052,"rho"
561,-1987.59266029037,1.04353128766368,0.330456234007163,"rho"
387,-2313.17176577124,49.1399769499469,0.415707823559119,"rho"
751,-1580.90215912752,2.27889980877542,0.25044263168095,"rho"
650,-2266.97724412787,3.84921399891,0.321024411877162,"rho"
212,-1910.51104755479,43.6498708642651,0.352406816332569,"rho"
388,-1762.60636907669,18.8428413877019,0.352107436397087,"rho"
841,-1914.25194045924,18.1250087733865,0.312869907939644,"rho"
702,-1618.71490388807,2.69101567937241,0.283357418021176,"rho"
357,-1992.8305903884,4.32515815374438,0.361425304980811,"rho"
555,-1608.80638629763,0.83093439243536,0.270432831898859,"rho"
268,-2029.53499998159,89.1902947782486,0.395571063340369,"rho"
71,-2233.80734873371,9.86276536386785,0.338837280187353,"rho"
35,-3160.68199653387,21.5947525312754,0.522684601786874,"rho"
99,-2876.07084732945,8.83321537538654,0.438158855950831,"rho"
413,-1758.66829879292,23.5228197029229,0.326555845054944,"rho"
749,-1487.93807385976,0.680602707444418,0.259407716814621,"rho"
723,-2871.36517915062,56.6236278157996,0.398250377614291,"rho"
130,-1558.65900280968,2.62381279635612,0.266022454087503,"rho"
199,-3054.579815946,5.10467707064384,0.658843236335385,"rho"
53,-1861.50839737649,38.8703555812493,0.317893131801725,"rho"
354,-2482.93211745294,13.1192719971846,0.292660209210079,"rho"
