do_grid,loglik,loglik_se,value,parameter
801,-1474.228785,0.171949697,1328.0021,beta_mu
749,-1468.755365,0.284927172,686.7074297,beta_mu
245,-1461.830041,0.300194253,566.7955922,beta_mu
757,-1464.658757,0.231026532,356.1146618,beta_mu
19,-1460.850574,0.453465491,249.8618012,beta_mu
779,-1470.476812,0.954145795,143.906919,beta_mu
843,-1464.251926,0.225616042,815.8104505,beta_mu
249,-1458.415161,0.195166166,349.4031349,beta_mu
642,-1466.245122,0.194330099,213.7940454,beta_mu
838,-1457.190377,0.1821471,456.7006805,beta_mu
758,-1463.042116,0.319172097,618.5836475,beta_mu
127,-1466.775956,0.169621018,216.4556466,beta_mu
797,-1466.575788,0.496086269,225.8706673,beta_mu
794,-1464.282851,0.2286629,801.6235856,beta_mu
109,-1466.446676,0.610689077,160.2196778,beta_mu
553,-1461.570927,0.268781756,650.3837727,beta_mu
21,-1480.082258,2.10168371,1038.802263,beta_mu
799,-1463.920993,0.381626408,497.1564694,beta_mu
951,-1487.411324,0.71700776,1440.182826,beta_mu
561,-1467.032412,0.321471291,181.6025797,beta_mu
984,-1468.888475,0.164006725,130.1124245,beta_mu
415,-1466.003296,0.230631248,151.5981753,beta_mu
420,-1470.057861,0.370650364,116.761749,beta_mu
220,-1470.057861,0.370650364,116.761749,beta_mu
754,-1460.774219,0.18497633,460.15164,beta_mu
652,-1461.709506,0.217836182,167.8232421,beta_mu
16,-1469.33342,0.412680361,928.0294519,beta_mu
17,-1461.370194,0.256120684,695.4643215,beta_mu
836,-1456.524438,0.098980094,415.3951689,beta_mu
760,-1466.463006,0.497700866,277.5974005,beta_mu
756,-1457.836477,0.093375332,420.4387002,beta_mu
924,-1463.366203,0.155137113,144.8523468,beta_mu
831,-1474.219688,0.48876069,692.7125857,beta_mu
791,-1459.752056,0.149583371,285.2373979,beta_mu
640,-1469.870978,0.424789474,801.1566564,beta_mu
554,-1460.774219,0.18497633,460.15164,beta_mu
777,-1468.586104,0.382050488,138.891257,beta_mu
748,-1459.605633,0.279251031,587.4397567,beta_mu
789,-1468.513475,0.487501227,282.646843,beta_mu
918,-1472.504963,0.178252826,77.88578781,beta_mu
982,-1471.594698,0.281324459,151.6958221,beta_mu
556,-1457.836477,0.093375332,420.4387002,beta_mu
25,-1465.143784,0.523790275,211.7616548,beta_mu
783,-1460.995615,0.5066071,161.8711733,beta_mu
692,-1459.425386,0.317973288,64.15400711,beta_mu
832,-1464.389542,0.214781597,796.1975827,beta_mu
659,-1469.577377,0.256311018,243.1553352,beta_mu
753,-1461.570927,0.268781756,650.3837727,beta_mu
639,-1482.673222,0.52123139,763.5610835,beta_mu
798,-1457.134275,0.299350844,430.518653,beta_mu
23,-1464.506199,0.318170431,477.2301268,beta_mu
76,-1472.622786,0.120922963,137.123012,beta_mu
130,-1471.246572,0.273944846,1088.583161,beta_mu
384,-1468.888475,0.164006725,130.1124245,beta_mu
382,-1471.594698,0.281324459,151.6958221,beta_mu
802,-1457.476495,0.105347216,481.1097637,beta_mu
793,-1456.047803,0.273317525,337.065701,beta_mu
694,-1463.34478,0.243174698,405.2104469,beta_mu
240,-1469.870978,0.424789474,801.1566564,beta_mu
215,-1466.003296,0.230631248,151.5981753,beta_mu
27,-1457.506173,0.312025542,396.993942,beta_mu
50,-1470.073624,0.486097361,45.2997361,beta_mu
643,-1464.251926,0.225616042,815.8104505,beta_mu
697,-1466.580296,0.366415832,701.6638274,beta_mu
787,-1484.731722,0.261484315,1387.911371,beta_mu
699,-1463.659017,0.23811114,691.7350725,beta_mu
658,-1457.672244,0.134583226,403.1803474,beta_mu
128,-1463.61034,0.224235017,856.9439519,beta_mu
695,-1466.347409,0.214145062,706.2123046,beta_mu
637,-1472.082522,0.373774549,820.7371017,beta_mu
973,-1466.071352,0.913742245,92.56304039,beta_mu
790,-1463.287558,0.41999805,194.1442795,beta_mu
134,-1463.950766,0.279092536,809.222527,beta_mu
638,-1457.190377,0.1821471,456.7006805,beta_mu
955,-1460.1413,0.17510814,263.5634797,beta_mu
927,-1466.775956,0.169621018,216.4556466,beta_mu
71,-1465.92879,0.482626907,142.5445087,beta_mu
647,-1460.419506,0.166229412,184.3151507,beta_mu
136,-1462.565124,0.402959754,144.6646469,beta_mu
131,-1460.042907,0.183452731,298.4699018,beta_mu
635,-1461.286087,0.119423082,294.4600331,beta_mu
135,-1458.590819,0.323401624,501.0143445,beta_mu
950,-1464.876327,0.230151469,234.7092648,beta_mu
251,-1456.539244,0.109323903,322.4703241,beta_mu
696,-1461.119964,0.354314673,585.123382,beta_mu
949,-1468.755365,0.284927172,686.7074297,beta_mu
947,-1462.767405,0.202936312,739.7942478,beta_mu
22,-1457.636939,0.18927935,412.5247517,beta_mu
646,-1459.433198,0.199352061,633.8969236,beta_mu
44,-1464.487712,0.425655387,104.8653724,beta_mu
137,-1461.198591,0.135608681,672.3985,beta_mu
781,-1465.291598,0.511845599,796.3823022,beta_mu
26,-1458.266641,0.131153041,343.4106799,beta_mu
946,-1457.743153,0.157388464,555.0671419,beta_mu
952,-1477.737748,1.118410792,1059.728971,beta_mu
471,-1465.92879,0.482626907,142.5445087,beta_mu
82,-1462.101222,0.179641366,117.9882326,beta_mu
618,-1465.793857,0.371000894,459.5874365,beta_mu
648,-1457.696666,0.37031448,346.2357168,beta_mu
195,-1470.352198,0.867979233,132.8401299,beta_mu
653,-1459.010471,0.311719077,401.4529451,beta_mu
476,-1472.622786,0.120922963,137.123012,beta_mu
655,-1460.010961,0.270526457,378.9145589,beta_mu
871,-1465.92879,0.482626907,142.5445087,beta_mu
133,-1455.54331,0.157511692,468.9933342,beta_mu
441,-1489.377517,1.033404022,1862.241767,beta_mu
944,-1456.192242,0.143796226,613.608713,beta_mu
444,-1464.487712,0.425655387,104.8653724,beta_mu
140,-1462.816173,0.306820465,497.7175502,beta_mu
138,-1458.494158,0.200264002,443.8627523,beta_mu
52,-1461.709506,0.217836182,167.8232421,beta_mu
108,-1463.674202,0.164305605,833.188527,beta_mu
106,-1464.22579,0.350032889,197.4477522,beta_mu
151,-1487.411324,0.71700776,1440.182826,beta_mu
184,-1468.888475,0.164006725,130.1124245,beta_mu
107,-1461.395023,0.157429912,502.1655558,beta_mu
230,-1471.488285,0.347303835,99.33868232,beta_mu
977,-1468.586104,0.382050488,138.891257,beta_mu
97,-1466.580296,0.366415832,701.6638274,beta_mu
691,-1457.53462,0.294128958,558.1460465,beta_mu
224,-1478.486412,0.424670621,1132.966604,beta_mu
654,-1459.209241,0.183275343,270.7807949,beta_mu
660,-1457.668116,0.11589135,677.7808117,beta_mu
94,-1463.34478,0.243174698,405.2104469,beta_mu
276,-1472.622786,0.120922963,137.123012,beta_mu
778,-1460.356138,0.126565382,244.4449242,beta_mu
30,-1471.488285,0.347303835,99.33868232,beta_mu
111,-1460.092144,0.181375672,156.8784586,beta_mu
93,-1466.737156,0.328299742,842.0953705,beta_mu
925,-1477.239595,0.349825278,1019.036035,beta_mu
698,-1460.589003,0.306864326,688.1983472,beta_mu
636,-1456.524438,0.098980094,415.3951689,beta_mu
92,-1459.425386,0.317973288,64.15400711,beta_mu
18,-1465.793857,0.371000894,459.5874365,beta_mu
