"do_grid","loglik","loglik_se","beta_mu","beta_sd","b1","b2","b3","b4","b5","b6","iota","rho","S_0","E_0","I_0","tau"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,-564.279046481092,0.0491444410348347,177.866706133875,0.0812701922846177,1.41110550367783,-0.00166885325611707,-6.000672139121,-5.47353080813431,-15.2306400617177,-7.9772814026248,11.7935546639441,0.309992499646703,0.285350220813639,4.84237486443351e-06,5.48330473776822e-06,0.0271903590176108
858,-570.615032911056,0.0540751144214759,174.125671840335,0.0777461649474024,1.37175497037348,0.135786622806932,-6.27713418592712,-12.071741475654,-1.93900395991119,-9.57678846906629,12.5114129236559,0.306624760415709,0.276976003368511,4.92574947286213e-06,8.76221252467123e-06,0.0270144755019553
358,-764.284940880462,5.02868801072956,45827853.8147346,2.68407396619942,7.56559163597646,-5.31879073092929,13.2961426777313,9.76684922510317,14.8345993117673,7.72781972307851,9.71279604434982,0.910281928706894,0.000705802235745805,0.000459857784513699,0.00131669200645069,1.33378479248828
493,-574.427489181817,0.0561502684450438,408.246442101019,0.087794399622895,3.6202378869101,-6.07353306322618,-12.1579965800552,-2.39238486512199,-6.30032760541464,-6.32738324067836,6.84240766533268,0.424818945158617,0.201399909893578,6.07025271746837e-06,1.54290094178795e-06,0.0155315855553188
383,-565.901215684733,0.030482379962865,91.2922032735435,0.0814271853786199,1.52171721853675,-1.28546012676241,-2.20342005776826,-12.1672143807038,1.09184293667361,-2.15504212329656,23.89006765847,0.198146479575827,0.580691840182873,2.51841649644058e-05,3.76921961728007e-05,0.133643121129537
381,-761.542309687211,2.13312544741476,552.972076490449,0.104036301383523,1.81565747621232,-1.45817656362659,0.347410956363922,-5.2276783090415,2.46699963643702,-4.98368134592913,4.2255348597574,0.930894100311314,0.00776051220180798,7.2661472950938e-06,6.7007752397153e-06,0.0297030776493631
158,-560.397507949777,0.0445341041562863,138.006078467423,0.0678027232159548,0.587539061277899,1.02252715405692,-4.08562152900133,-9.08183981513207,-1.69006611828238,-4.26007373479902,15.429887995111,0.234508060794337,0.386654239108415,4.83591561297577e-06,3.5449522942337e-06,0.0306425290276055
621,-643.331489803208,0.0534835875363388,309.375391992688,0.0206526601336152,2.72400292712337,-1.42071755098256,-3.20383615059491,-5.2416615337093,-12.504109813577,-7.26306666751468,8.05850786038368,0.388869867742337,0.176750025050725,1.17599973516407e-06,3.82436097033414e-06,0.0280716862730892
21,-770.404217487533,9.13278638265024,513.947871870068,0.0430837576268638,1.96662702420934,-1.55048933861856,-6.76968399692128,-6.16723121435709,-9.50332907044635,-8.80658317219214,5.09000408675545,0.929403775228523,0.02573289111274,9.51040352026309e-06,2.32974134906223e-05,0.0211008929907093
386,-882.818851081199,0.114022580640097,248.071707180125,0.133029922389018,2.35320184247295,-20.4467743101132,-2.07018773074991,-7.54229592134241,-1.23211485898087,-2.84070474358767,15.7446815197162,0.200799551710013,0.377465353887557,4.69968104361002e-06,1.59445125135544e-05,0.0269263175584208
521,-640.394653192402,0.0537486378794668,314.013344281373,0.0269335402785665,3.09658404907743,-1.48339898938024,-0.909634034267192,-0.851725849050753,-18.7681983389992,-6.93055897207969,6.30593940468041,0.42455762966684,0.1495566930117,3.26903496550146e-06,5.38252392887559e-06,0.0311540535861205
