"do_grid","loglik","loglik_se","beta_mu","beta_sd","b1","b2","b3","b4","b5","b6","iota","rho","S_0","I_0","tau"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
924,-958.260476754608,0.0449908625912492,56.7719903389428,0.00382284900506812,-0.965707983083377,-0.179873345496485,0.513557923341632,-6.07576153121726,-2.46217470680061,0.802974582717344,12.2854464717666,0.744255494386899,0.257805973966088,9.43727102617583e-06,0.683289718718741
827,-926.362040159914,0.0932802027079161,45.2814806907373,0.0232492956359327,-0.879355587979741,-0.497995473015269,1.12090115481998,-9.9059471532342,-2.54215035924167,0.260888737391725,11.7593067200983,0.997105751343871,0.363738237482662,1.11966691214308e-05,0.0751239776030489
136,-943.333846737741,0.0380473719604112,42.4706679595794,2.5425000489519e-05,-0.609841712464109,0.26065669479905,0.180592045345896,-2.72763796159472,-1.60130167787309,0.757576452473843,11.0246675691774,0.851603121702785,0.323166116843513,1.13861909066317e-05,0.426197559926789
999,-1458.76563185572,0.00598609951388792,1342.0958836909,0.000359969151061991,-1.54285067599585,-2.11630580686068,2.36526929122337,-13.002264065942,-7.58883534680134,-1.06577649279698,48.4383012111625,0.121036117611647,0.0121847747259653,5.46641326552741e-05,37.8582195307948
1000,-1435.8122920195,0.00808303216396735,375.140047657243,6.92711580900356e-05,-1.19016253987913,-1.24212627027236,1.16834344324028,-9.95000425724437,-9.19000149430219,0.025097277793143,52.744922043501,0.108851802846237,0.060858570017368,3.15914410097389e-06,34.145233432202
810,-934.251666623788,0.0520652008165505,37.0539381923977,3.48260635516307e-08,-1.31388295147729,-0.243464233753245,0.116395208545392,-6.47009191175716,-3.40995066781018,0.925538576119285,12.7539513412133,0.996914611096706,0.490273879142855,8.11516085147095e-06,0.220081801904059
998,-1199.52366594178,0.0164765081103158,428.49671925395,8.46112576019177e-06,-0.95463141962282,-0.163926041113325,0.599755268345571,-3.22856994714014,-3.02473028085475,0.0861876836479197,23.2150594898206,0.137363716019829,0.0430133982146994,6.45899841657589e-06,9.59998939203839
745,-968.461867001767,0.0347131166182985,52.7897179275817,0.00923529192717355,-1.41085497818215,0.0819814216521787,0.21858402709435,-4.76339146058472,-1.9492964511539,1.19702208571611,11.7607342639554,0.68279939764051,0.281419188152891,2.57377199793397e-05,0.853067996071552
473,-930.192183851684,0.0846132112763236,40.8548969493565,0.0427099119746211,-1.20087212756043,-0.369867994484355,1.03473808019082,-8.07929739943824,-1.81841909774521,1.03744491516053,10.0006739259741,0.824096018675295,0.419371117771355,1.58184325143557e-05,0.105803436168253
850,-930.263703954602,0.0695749933615455,26.9816057921444,0.0497762471833805,-0.944904745420185,0.460410389192699,0.0417295043640671,-2.46910336270395,-4.19878530644382,1.34753608509105,14.2914320530418,0.919505118104745,0.617040637981457,8.96473401053775e-06,0.0247698114007804
500,-958.489021482635,0.0342138535890245,5.9713714822594,0.000217424970045274,2.19444863860195,2.86738786778249,2.61442399701257,1.65619393917816,2.1418937982488,2.81839451940577,10.9160025381,0.666487723273571,0.3249305140902,8.50630951729276e-06,0.644422813401664
113,-934.519672341958,0.0606490810792109,50.2522596183547,1.07689622007284e-05,-1.21634268669105,-0.229420662008457,0.0802944901760343,-6.08152596599813,-3.40485858118593,0.858837398258149,11.803715825542,0.927770443361947,0.328647280296335,1.48212863008277e-06,0.283678345755594
790,-1085.93911990362,0.0192207627936696,4015.9055026642,0.000190888158718412,-1.22877794235205,-6.84266261953672,6.49110290859047,-0.956314963578665,-0.534606271808819,-2.88063200295967,8.05413744495329,0.296152925975194,0.193858491493152,0.00308894512528451,2.5946794714286
956,-1012.73405562697,0.0409077855611224,482.175555530622,2.44517109417e-05,-1.0229580252822,-0.272491199691764,1.07751030565211,-4.37432552607635,-2.31649452873589,0.0978227268501372,11.8646757177555,0.171354738088589,0.0332672872670832,9.14776739308294e-06,2.01352494060678
536,-986.423586631418,0.0587915377429841,526.403400719943,4.01790165638193e-07,-1.60616668341178,-0.240526683739407,1.22759819177714,-5.26262059105484,-2.86221106590643,0.722997422696977,12.8814387215514,0.181862479132027,0.0315356050677584,2.3463407691357e-05,1.32085763017257
417,-1014.23981288947,0.0302343116326111,451.015530083228,0.00925403094383824,-0.303031458920876,-0.300720068327756,1.30411583522004,-3.60577876248634,-0.529887625751243,-0.406968656087569,14.9139874306086,0.179679369447336,0.034181438771942,1.07464213770479e-05,2.08823090772715
908,-1015.63569702687,0.0379141783447278,523.929065067764,0.00168934660350263,-1.59670342813091,-0.159903760690771,0.874374212410656,-4.86185413978858,-3.06373766975334,0.257267749846136,16.3911058398946,0.181687005407334,0.0311360032696856,7.72687343505701e-06,2.09463546760683
538,-1053.52098352167,0.0264719877648012,454.976185907767,0.00286706564388624,-0.625579305448728,-0.167138393096465,1.1666440873966,-3.62295120551596,-1.0628977653305,-0.0913833707629373,15.9653275478827,0.188516185094303,0.0333947848389045,1.95476035676001e-05,3.22381531852175
416,-1314.04299942816,0.00850405402093798,4085.3131761299,0.000646153353428541,-14.1513265228379,-1.7798434944387,0.565134339437318,0.174583150472222,-2.51932717988589,-5.34225531186535,11.5098422296064,0.167706060102675,0.411734130340298,0.00047829731278356,17.7248242802127
964,-1267.5571006711,0.00983917450856356,3938.93368480465,0.00123396046642076,-4.81956372139301,-2.49234138814169,1.07439336705897,-0.370661141159081,-1.18110784052086,-11.3485999262757,11.8030267098829,0.181616889302136,0.364938921814095,0.00106429473188165,13.5180114481821
944,-1252.30042878075,0.0109202939485761,4002.79897648771,0.00426196492862306,-13.0865393849542,-0.971190942376498,0.37351219127967,0.614607941114972,-3.2462993477391,-7.25773033551583,10.9952109279731,0.181608915505142,0.319175668463687,0.00537290858923726,12.3073543394968
953,-1267.69185399716,0.00884640646446267,3927.67118696705,7.5250128461499e-05,-7.59654944984531,-1.42958295767104,0.42652837525455,0.462148293880178,-2.88817988200913,-8.51583012053469,12.302323040931,0.180101463506053,0.402892268497054,0.000570649903336937,13.5315499688839
985,-996.769629592916,0.0398786639040555,577.46098788132,0.000671732347739705,-2.11133423581854,-0.419137382513611,1.12123782101383,-7.00950292198913,-4.88117299188988,0.482715269726074,19.1665090357729,0.178555886036624,0.030691209054479,3.81871504239067e-05,1.56003634531988
900,-1247.44473891405,0.011559916733112,3896.61447181852,0.000857083762934827,-9.24798466755489,-1.45167158287189,0.65886279629022,0.394380365678505,-2.79124326929357,-2.73040379350608,11.4844915030214,0.184350577284097,0.337574786684863,0.00243111154203955,11.9434266383304
708,-1057.77605360401,0.0268739431232831,457.16888231923,3.47930095738957e-07,-0.76664357073653,-0.227205954891505,1.13789801256432,-4.18860948380166,-1.14419946173909,-0.208329059354301,16.5807561772133,0.168862185469599,0.0335192300658192,6.07126034013095e-06,3.34758060610414
683,-1321.56874718077,0.00872886040278918,4048.43142038654,5.04142530531995e-06,-9.69489076856602,-2.2977641708885,0.648791168041829,-0.0164559053173308,-2.21902010985943,-6.46680709119488,11.7728068169975,0.161770731636385,0.43314474702701,0.000424148534780432,18.4874215178946
537,-1288.16189351936,0.00989079660559618,3986.87544458582,0.000430586193726484,-5.72292358918845,-2.24292911366063,0.770607779580169,0.200730087850101,-2.68472726621707,-3.23338870670115,10.9067710595411,0.167128732773294,0.429657775672649,0.000304590710787528,15.2890157089998
