"do_grid","loglik","loglik_se","beta_mu","beta_sd","b1","b2","b3","b4","b5","b6","iota","rho","S_0","I_0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
999,-1505.68898099374,0.586497522505584,5.77159152786503,0.0480507077611205,1.90111395302458,2.11360810359646,1.8705772006308,-1.83117023254235,0.996898542086346,1.52027968686366,14.1552317940588,0.999986681762526,0.747085585539339,7.16112614962189e-05
995,-1508.08897823208,0.677538340190611,2.14352822881762,0.0530552146720975,2.55002558029724,3.4148086452149,2.42382113990822,0.667213491231194,1.54684146140042,3.02799518075784,13.3558148475369,0.896126269525662,0.799441134729882,6.1658001958071e-05
15,-1649.73910114934,0.286405053107632,7.51197271461623,0.0895082272887164,1.86496482368445,4.21867252265227,2.29727715131318,1.16755804302334,0.663286296560616,2.88643843068096,27.7299093410688,0.998845352889391,0.0523129117992428,0.0083423668524115
739,-1503.88524793607,0.260463872980795,6.92271362792283,0.0555449226882184,1.40738695872394,2.087025449532,1.63546018223723,-1.83938064880011,0.278228433008369,1.44739442591899,26.7196236226644,0.801925200233883,0.713121028969245,0.000103729715927244
543,-1513.2238324594,0.217898604739307,10.7590768738396,0.0592471130292202,0.75419668662163,1.83834362589133,0.832144716111646,-3.30911784977004,-1.02851494563269,0.662205139929386,14.2851005625001,0.980782922478886,0.707593127683607,0.000179017868789884
609,-1522.49880107665,0.838325234913358,12.1699239332752,0.0568611979125507,0.283342855657371,2.06370014688557,0.254115711138533,-1.7830302954858,-15.997019465041,2.28034378232012,27.002990801222,0.991592419840988,0.589346226183052,0.000337481810778978
746,-1510.74892035587,0.246403991753374,10.2768631477738,0.0558893052908765,0.573011330115067,1.95748893556935,0.793498776541506,-2.88291265199521,-3.5015532673768,1.5926915781469,20.5552470146009,0.707199148480562,0.70744047358577,8.67858243387695e-05
731,-1512.47014148544,2.1981284152317,7.17990287882625,0.05255398676507,1.15105283810208,1.99387404218321,0.983371996127587,-2.60677219094847,-1.21501551537807,1.79588767975004,23.7011545581624,0.999976455104639,0.857382061864557,6.59796902746915e-05
687,-1506.94915787576,0.212734003220532,7.49134059440985,0.052831429222163,1.3773371411227,1.87639612043106,1.24848710016486,-3.04613806141258,-3.29886811396784,1.57489246232972,14.9004498024421,0.999680232268616,0.86799851140655,5.13406752397203e-05
972,-1510.40118583095,0.239437012027046,10.3516759627362,0.0525671669678562,0.577818931357435,1.4674994408847,0.958547201483544,-5.06247173225559,-3.35973543385039,1.28271474479807,18.637478689159,0.904638167456698,0.880104909221221,0.000111250876122044
