"","city","vacc_speed","metric","AUC"
"105","Maradi",8.3e-05,"Index of dis.",0.771224
"106","Maradi",8.3e-05,"Coeff. var.",0.546646
"107","Maradi",8.3e-05,"Skewness",0.540874
"108","Maradi",8.3e-05,"Kurtosis",0.506352
"109","Niamey",1.5e-05,"Variance",0.994336
"110","Niamey",1.5e-05,"Autocovar.",0.994092
"111","Niamey",1.5e-05,"Autocorr.",0.947096
"112","Niamey",1.5e-05,"Decay time",0.9465
"113","Niamey",1.5e-05,"Mean",0.970564
"114","Niamey",1.5e-05,"Index of dis.",0.991724
"115","Niamey",1.5e-05,"Coeff. var.",0.826124
"116","Niamey",1.5e-05,"Skewness",0.57372
"117","Niamey",1.5e-05,"Kurtosis",0.5535
"118","Niamey",1e-04,"Variance",0.698372
"119","Niamey",1e-04,"Autocovar.",0.691426
"120","Niamey",1e-04,"Autocorr.",0.594112
"121","Niamey",1e-04,"Decay time",0.590716
"122","Niamey",1e-04,"Mean",0.693792
"123","Niamey",1e-04,"Index of dis.",0.66531
"124","Niamey",1e-04,"Coeff. var.",0.503484
"125","Niamey",1e-04,"Skewness",0.526746
"126","Niamey",1e-04,"Kurtosis",0.50363
"127","Niamey",3.2e-05,"Variance",0.913012
"128","Niamey",3.2e-05,"Autocovar.",0.911332
"129","Niamey",3.2e-05,"Autocorr.",0.787616
"130","Niamey",3.2e-05,"Decay time",0.78424
"131","Niamey",3.2e-05,"Mean",0.8558
"132","Niamey",3.2e-05,"Index of dis.",0.892144
"133","Niamey",3.2e-05,"Coeff. var.",0.620386
"134","Niamey",3.2e-05,"Skewness",0.593058
"135","Niamey",3.2e-05,"Kurtosis",0.522836
"136","Niamey",4.9e-05,"Variance",0.878908
"137","Niamey",4.9e-05,"Autocovar.",0.873228
"138","Niamey",4.9e-05,"Autocorr.",0.732542
"139","Niamey",4.9e-05,"Decay time",0.72906
"140","Niamey",4.9e-05,"Mean",0.822924
"141","Niamey",4.9e-05,"Index of dis.",0.862412
"142","Niamey",4.9e-05,"Coeff. var.",0.56264
"143","Niamey",4.9e-05,"Skewness",0.54917
"144","Niamey",4.9e-05,"Kurtosis",0.54942
"145","Niamey",6.6e-05,"Variance",0.724554
"146","Niamey",6.6e-05,"Autocovar.",0.727994
"147","Niamey",6.6e-05,"Autocorr.",0.620392
"148","Niamey",6.6e-05,"Decay time",0.616964
"149","Niamey",6.6e-05,"Mean",0.66144
"150","Niamey",6.6e-05,"Index of dis.",0.719058
"151","Niamey",6.6e-05,"Coeff. var.",0.558656
"152","Niamey",6.6e-05,"Skewness",0.706852
"153","Niamey",6.6e-05,"Kurtosis",0.688004
"154","Niamey",8.3e-05,"Variance",0.79638
"155","Niamey",8.3e-05,"Autocovar.",0.789302
"156","Niamey",8.3e-05,"Autocorr.",0.618382
"157","Niamey",8.3e-05,"Decay time",0.618896
"158","Niamey",8.3e-05,"Mean",0.758812
"159","Niamey",8.3e-05,"Index of dis.",0.774588
"160","Niamey",8.3e-05,"Coeff. var.",0.516996
"161","Niamey",8.3e-05,"Skewness",0.632236
"162","Niamey",8.3e-05,"Kurtosis",0.586706
"163","Zinder",1.5e-05,"Variance",0.962
"164","Zinder",1.5e-05,"Autocovar.",0.961096
"165","Zinder",1.5e-05,"Autocorr.",0.943272
"166","Zinder",1.5e-05,"Decay time",0.94328
"167","Zinder",1.5e-05,"Mean",0.952844
"168","Zinder",1.5e-05,"Index of dis.",0.957784
"169","Zinder",1.5e-05,"Coeff. var.",0.50238
"170","Zinder",1.5e-05,"Skewness",0.74558
"171","Zinder",1.5e-05,"Kurtosis",0.721992
"172","Zinder",1e-04,"Variance",0.654076
"173","Zinder",1e-04,"Autocovar.",0.635116
"174","Zinder",1e-04,"Autocorr.",0.57367
"175","Zinder",1e-04,"Decay time",0.566906
"176","Zinder",1e-04,"Mean",0.737896
"177","Zinder",1e-04,"Index of dis.",0.596408
"178","Zinder",1e-04,"Coeff. var.",0.65656
"179","Zinder",1e-04,"Skewness",0.677012
"180","Zinder",1e-04,"Kurtosis",0.6996
"181","Zinder",3.2e-05,"Variance",0.866216
"182","Zinder",3.2e-05,"Autocovar.",0.857008
"183","Zinder",3.2e-05,"Autocorr.",0.807924
"184","Zinder",3.2e-05,"Decay time",0.805556
"185","Zinder",3.2e-05,"Mean",0.8876
"186","Zinder",3.2e-05,"Index of dis.",0.83191
"187","Zinder",3.2e-05,"Coeff. var.",0.5854
"188","Zinder",3.2e-05,"Skewness",0.767598
"189","Zinder",3.2e-05,"Kurtosis",0.73356
"190","Zinder",4.9e-05,"Variance",0.719122
"191","Zinder",4.9e-05,"Autocovar.",0.708456
"192","Zinder",4.9e-05,"Autocorr.",0.627796
"193","Zinder",4.9e-05,"Decay time",0.626522
"194","Zinder",4.9e-05,"Mean",0.74192
"195","Zinder",4.9e-05,"Index of dis.",0.692554
"196","Zinder",4.9e-05,"Coeff. var.",0.608586
"197","Zinder",4.9e-05,"Skewness",0.601502
"198","Zinder",4.9e-05,"Kurtosis",0.523208
"199","Zinder",6.6e-05,"Variance",0.629692
"200","Zinder",6.6e-05,"Autocovar.",0.629274
"201","Zinder",6.6e-05,"Autocorr.",0.61266
"202","Zinder",6.6e-05,"Decay time",0.612968
"203","Zinder",6.6e-05,"Mean",0.624852
"204","Zinder",6.6e-05,"Index of dis.",0.633778
"205","Zinder",6.6e-05,"Coeff. var.",0.515208
"206","Zinder",6.6e-05,"Skewness",0.57502
"207","Zinder",6.6e-05,"Kurtosis",0.507482
"208","Zinder",8.3e-05,"Variance",0.66712
"209","Zinder",8.3e-05,"Autocovar.",0.6458
"210","Zinder",8.3e-05,"Autocorr.",0.586088
"211","Zinder",8.3e-05,"Decay time",0.580542
"212","Zinder",8.3e-05,"Mean",0.756752
"213","Zinder",8.3e-05,"Index of dis.",0.600906
"214","Zinder",8.3e-05,"Coeff. var.",0.66035
"215","Zinder",8.3e-05,"Skewness",0.718498
"216","Zinder",8.3e-05,"Kurtosis",0.725242
