time,med,upper,lower,week
1995.01917808219,30.404223226492626,67.42735069622704,13.5715712012118,1
1995.03835616438,27.88031793756212,62.444258788683364,12.527541835543397,2
1995.05753424658,26.92577083983642,54.89812916739518,12.208060792110594,3
1995.07671232877,21.179069342953436,46.75269504629597,9.641673683102525,4
1995.09589041096,31.098221465840098,70.7074412902962,13.293867032011889,5
1995.11506849315,29.65173612459165,63.58044115377261,13.234330471557753,6
1995.13424657534,24.302082799747748,50.70610473420926,11.808944977597337,7
1995.15342465753,26.779374072640167,58.0206186913094,11.884415939316085,8
1995.17260273973,26.331058909768636,56.87267744416573,11.817214250401781,9
1995.19178082192,26.82163312646539,54.643436992375555,12.081472538858243,10
1995.21095890411,32.4729857178036,69.56028964076401,13.866374472138366,11
1995.2301369863,30.596868858291447,63.6342507212008,12.9118072500251,12
1995.24931506849,28.151665470036022,58.529656695146606,12.278950084418572,13
1995.26849315068,30.90506581537965,66.14537667779844,13.742027631212851,14
1995.28767123288,21.418993942693323,41.67588437927763,10.35992889383609,15
1995.30684931507,29.903963721632554,65.54545155169956,13.585260201981841,16
1995.32602739726,25.101548202417238,52.373933267688216,11.645761787180648,17
1995.34520547945,26.981634818306414,54.694990645623456,11.79112516991229,18
1995.36438356164,32.38333722223119,68.33165795270742,13.752021641483902,19
1995.38356164384,33.24544048541067,70.1633852905585,14.776021274770963,20
1995.40273972603,29.392167162818858,64.41968891607685,13.149861560872253,21
1995.42191780822,30.309595068908358,66.95334911013113,13.29637718994909,22
1995.44109589041,31.632899787040092,70.9915280159317,13.815076887569079,23
1995.4602739726,30.346531913536428,66.78734759801927,13.380685202153224,24
1995.47945205479,35.999196322115516,84.41652402681109,14.924575931068723,25
1995.49863013699,29.853581109354334,67.51804088993562,13.093553776931694,26
1995.51780821918,32.69959070542275,73.6187943519576,14.013967224909203,27
1995.53698630137,33.218860485082715,75.96533034394051,13.851604712855902,28
1995.55616438356,36.71355763415478,88.53215524487658,15.449569826211034,29
1995.57534246575,25.248769421347067,55.90261626080857,11.490358707088253,30
1995.59452054795,27.114912121333326,59.77728149341302,12.483035906437703,31
1995.61369863014,30.223661416889247,68.21343405017272,13.223828189525975,32
1995.63287671233,30.77946045571406,70.16366768869167,13.566376300365253,33
1995.65205479452,28.864335091298184,65.28004066926174,12.686429523702591,34
1995.67123287671,32.56309893747804,75.37170313620291,13.916690783685118,35
1995.6904109589,29.73039087277617,67.33540968659034,12.783520922776113,36
1995.7095890411,29.36931966924427,67.34889215534658,12.737863351859723,37
1995.72876712329,33.19370727803108,78.20977337942713,14.183836219886405,38
1995.74794520548,30.26142251548024,67.85160294302914,13.162358561040032,39
1995.76712328767,30.37540765200216,69.3903356954767,13.19810059653168,40
1995.78630136986,30.637717492940297,70.33320059205003,13.358205592935432,41
1995.80547945205,30.75990859428787,70.41406466043627,13.339561590768525,42
1995.82465753425,30.090290324053342,68.74263392813494,13.301375506592192,43
1995.84383561644,30.555398726971774,70.4767842770462,13.180462099242462,44
1995.86301369863,31.08483725305616,71.64597857156276,13.492021972835458,45
1995.88219178082,30.83703117136786,69.17728217634163,13.259531058596718,46
1995.90136986301,30.267471842990844,69.81121908495771,13.342003857395579,47
1995.92054794521,30.443580595158394,68.71640355123664,13.195266678980994,48
1995.9397260274,36.67328967926178,89.30435100004088,15.115799240960907,49
1995.95890410959,30.226957720299403,67.908749681498,12.961783901303246,50
1995.97808219178,29.32707824399293,67.57915393123892,13.294191682942294,51
1996,29.743904326570334,66.5442445671462,12.96309707007685,52
1996.01912568306,29.946408627199926,67.7604656207679,12.766422158349094,53
1996.03825136612,29.249664497817573,66.56858810937635,12.827981745919695,54
1996.05737704918,29.490414486378832,67.440969549481,12.8682249574512,55
1996.07650273224,45.61681379461846,150.37317932919962,16.95597358570679,56
1996.0956284153,35.03625770814582,82.64792096975826,14.560110080228256,57
1996.11475409836,30.507417599789207,66.92031511942234,13.596097613997877,58
1996.13387978142,34.08328800754624,78.99658816040326,14.86218264874344,59
1996.15300546448,32.15737389443265,71.8114692597163,13.854533902253602,60
1996.17213114754,27.786604036747207,59.77400326057642,12.482286305593572,61
1996.1912568306,39.6197606850668,99.53239068450239,16.26712245452764,62
1996.21038251366,26.97455427272996,58.674744641213564,12.108694585507955,63
1996.22950819672,33.267033957197484,74.71054140546785,14.18538906063841,64
1996.24863387978,20.309060085451993,41.760796137136076,9.422213454930661,65
1996.26775956284,34.65555563083157,85.75614303121003,14.936195560919808,66
1996.2868852459,36.379706091854494,86.18793908986515,15.32234053858258,67
1996.30601092896,33.961484977496745,78.79322821339561,14.800336565114266,68
1996.32513661202,34.2197071712139,78.44342193645585,14.920736713266866,69
1996.34426229508,35.79891728789279,83.44026047188075,15.345283870762954,70
1996.36338797814,35.94422707722951,83.40701100635084,14.88819919180576,71
1996.3825136612,33.222832631720316,76.45655939504283,14.111448984508428,72
1996.40163934426,34.42491968214431,77.48076216725266,14.482800254145095,73
1996.42076502732,30.01648057518429,66.72826289428679,12.899048445707539,74
1996.43989071038,27.149633496233136,59.08274312388688,12.497049618087459,75
1996.45901639344,36.40395558899584,89.58853774113092,15.502377188601884,76
1996.4781420765,33.78568339573036,77.6050003560486,14.193430157759424,77
1996.49726775956,33.355803805231844,78.15487086841185,14.144621522916616,78
1996.51639344262,34.058605803223536,79.99509502465014,14.307783242895251,79
1996.53551912568,36.860492390563095,88.31537380275826,15.051698396791998,80
1996.55464480874,29.36169850994479,66.56373192745485,13.108564788614467,81
1996.5737704918,30.194741406136497,68.7826628761724,13.140444004199182,82
