"do_grid","loglik","loglik_se","beta_mu","beta_sd","b1","b2","b3","b4","b5","b6","iota","rho","S_0","E_0","I_0","tau"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
627,-1476.8477649899,0.6898420784829,69.2034734775642,0.102329028734432,0.956966280270827,1.49706131019915,0.728825206521186,-6.92815054732258,0.430333741066215,1.10372308112032,11.4426097851136,0.999999994052417,0.320462502906326,5.5963365512667e-05,3.29074469691922e-05,0.0452223067660015
392,-1477.31926753317,0.185018122074296,68.5397515428968,0.120691832701534,0.966692639193811,1.11479544072368,1.11550022520389,-11.5279336590425,-6.96079403854535,0.818663830214348,15.3093382790994,0.999732278826348,0.403093762675555,3.08227448930138e-05,3.41637069441437e-05,0.0413162836513196
913,-1553.50215795372,6.29231448812336,1.64690196672595,0.0719889125661894,4.88373076654482,5.36034615750378,3.7357243176268,2.91576808444442,3.7282704234651,4.44784720036556,11.7754124006924,0.99980268162035,0.367538129825393,6.49535324520854e-05,2.15426335090293e-05,0.0362864297732072
994,-1498.60348921476,1.460430603424,228.784508939047,0.114220358980269,0.161464405026637,1.75441192280454,0.08640853180479,-7.17405746487485,-12.7585144180594,3.61474423536418,16.4719271944956,0.544282879863491,0.0798235647646412,9.36785963779849e-05,5.68381014128016e-05,0.0393037501553475
8,-1520.95797849769,0.449611677672535,419.265462829038,0.179620905853299,-14.2161079589533,0.2354241517535,-5.011720027156,-16.5301356050056,-5.9474779256937,2.57658984354283,15.8945076058435,0.516576895699299,0.164452506120442,0.000137953727026405,4.87652781668106e-05,0.0235379486739843
556,-1490.4954560387,2.47265783384111,81.8441770190023,0.081499735423176,0.909862389497235,1.41299066425153,0.522688726037408,-11.6762511300265,-2.26749786136063,1.75492518298186,8.62694629745904,0.999971093360404,0.273670392068071,9.40460819026473e-05,5.30330841397036e-06,0.0450761122400712
997,-1478.64483898541,0.719966520465972,451.469261270099,0.121053448743222,1.27602782408779,0.671488895955172,0.763858661366504,-10.6816991514554,-15.516965113317,0.684300975616664,17.6109487742488,0.2583536752103,0.0986414106483876,0.00011483069812882,5.27585612320739e-05,0.0433198776398114
16,-1469.05038834925,0.126074657125168,574.511616294129,0.132630511509726,1.37793604466979,0.726884036412072,1.06903797092806,-6.99374526069567,-9.62382983298989,0.0710503175414736,15.5093008242788,0.30447255084947,0.0926151169851041,0.000285949567055202,6.17109507070695e-06,0.0363081273693143
777,-1520.63901159152,0.922812565413269,1625.76717910945,0.173153340668825,-3.50329123112483,-18.0675981589805,-4.31769691804723,-11.6088223116066,-6.03755300952949,-4.0890480099335,17.8638002881901,0.296538638875282,0.0597822996971616,0.000183305834004635,9.66854810332464e-05,0.0457398936536106
