"do_grid","loglik","loglik_se","value","parameter"
325,-2291.334029211,35.6540267163414,0.208,"rho"
264,-7393.72788305255,9.12446328080171,0.454,"rho"
262,-7042.40650711317,33.3113374576709,0.441,"rho"
260,-7542.87652568685,3.2520948322478,0.429,"rho"
188,-7025.29470838713,26.1782688996189,0.605,"rho"
184,-7258.61649542706,37.2050227443228,0.58,"rho"
186,-6698.56354597736,12.6650798632306,0.592,"rho"
281,-7318.01516333471,7.494529867365,0.561,"rho"
279,-7088.68614217623,19.5643193205459,0.548,"rho"
319,-3183.61733395988,20.1599453659441,0.17,"rho"
357,-7488.03039772003,18.5878249793215,0.41,"rho"
284,-6635.95834516913,6.13134442806798,0.58,"rho"
276,-7104.8685374375,23.9417039467428,0.529,"rho"
322,-2911.62898765797,39.7414172213592,0.189,"rho"
83,-7045.42880352737,27.1374266520196,0.573,"rho"
81,-6847.10939384943,0.855394052138781,0.561,"rho"
43,-7789.6078372431,15.4859085725172,0.321,"rho"
45,-7683.77263484289,9.71942744929848,0.334,"rho"
90,-6670.02480615983,5.22535465916424,0.617,"rho"
173,-7274.24781711325,13.7378934123806,0.51,"rho"
378,-7419.39234520854,4.89311906617821,0.542,"rho"
167,-7211.48990841393,20.2658901256666,0.473,"rho"
88,-7059.87014142622,12.576026052789,0.605,"rho"
369,-7236.51497365528,30.4857531630224,0.485,"rho"
170,-7343.45564282317,45.686203065755,0.491,"rho"
165,-7265.11983678931,52.5966066181708,0.46,"rho"
372,-6711.82069043011,35.563852696049,0.504,"rho"
171,-7396.78849249018,2.89910627130589,0.498,"rho"
163,-7232.72312190624,75.9885491550346,0.447,"rho"
371,-7440.75626445381,17.8905829721388,0.498,"rho"
361,-7615.50396342166,27.6155323698363,0.435,"rho"
362,-7282.51757075858,33.2165443214278,0.441,"rho"
294,-6722.73308424039,25.405205473829,0.643,"rho"
168,-7548.77689850356,5.13175954620973,0.479,"rho"
161,-7448.13394431949,59.4703915892487,0.435,"rho"
257,-7405.63771282763,27.348457293289,0.41,"rho"
395,-6968.55378044231,38.9009402313255,0.649,"rho"
397,-6708.44980511226,6.4438672228335,0.661,"rho"
252,-7706.43203996577,25.7973373570841,0.378,"rho"
254,-7788.47721837629,19.8668724766111,0.391,"rho"
396,-6314.73933901465,18.5688114222147,0.655,"rho"
393,-7108.21157537998,26.8218004312037,0.636,"rho"
392,-6623.24725530681,19.3535226501253,0.63,"rho"
256,-7568.60604402853,5.64124152030905,0.403,"rho"
288,-6920.48933448335,4.77456637920266,0.605,"rho"
53,-7095.0654898722,12.7266893783739,0.384,"rho"
153,-7507.62822685378,10.9393764526316,0.384,"rho"
136,-5542.73870826975,46.4816984218432,0.277,"rho"
268,-7452.63803895163,2.0927290184,0.479,"rho"
246,-7742.29629606218,8.68500249161072,0.34,"rho"
245,-7847.44251163721,4.55796937919606,0.334,"rho"
50,-7157.54039251669,7.87318710294512,0.366,"rho"
48,-7698.51256124388,3.90101495992943,0.353,"rho"
374,-7230.3899357981,87.9901288466337,0.517,"rho"
49,-7731.68437140995,8.08760210634136,0.359,"rho"
64,-7368.56060874074,27.1429456938018,0.454,"rho"
70,-7315.09268746018,55.3915274008794,0.491,"rho"
244,-7751.4960280781,25.2183952649705,0.328,"rho"
227,-8182.34729435758,11.180843781883,0.221,"rho"
63,-7449.10054499288,9.86771602409089,0.447,"rho"
386,-7114.41032892202,15.2291449887314,0.592,"rho"
26,-3151.38352731658,38.0193342553311,0.214,"rho"
379,-7028.37011532437,6.57462832039529,0.548,"rho"
202,-9648.9174035265,4.89688312342383,0.063,"rho"
66,-7508.97355845619,2.96679006358639,0.466,"rho"
222,-2904.20554022862,15.9838908853987,0.189,"rho"
224,-2725.56024341236,16.704583841707,0.202,"rho"
223,-3181.52389291083,13.199900115341,0.196,"rho"
22,-2730.59287943173,17.5437309888512,0.189,"rho"
390,-7252.25330726097,30.0579462935465,0.617,"rho"
315,-5138.40650636937,16.0794399735626,0.145,"rho"
311,-5801.37750276186,17.3251440940163,0.12,"rho"
310,-6167.60705209984,28.3445468321727,0.114,"rho"
16,-5177.55340404742,5.98122567335508,0.151,"rho"
17,-2854.3733856765,9.55089810559485,0.158,"rho"
129,-8236.33667444265,13.76993291858,0.233,"rho"
131,-4580.53172438182,12.2308618442732,0.246,"rho"
221,-7202.08911949583,64.0771955003059,0.183,"rho"
12,-5516.74832741324,12.689301754034,0.126,"rho"
130,-3326.72048076314,12.2401379214245,0.24,"rho"
127,-3638.94503965923,4.50740950508492,0.221,"rho"
10,-6468.82279553767,47.7351127002251,0.114,"rho"
109,-6600.54984782269,68.3210744602622,0.107,"rho"
118,-4534.20357917232,2.44283605397043,0.164,"rho"
9,-5876.99103447398,8.5611401419775,0.107,"rho"
400,-6543.02520944001,8.3447775296386,0.68,"rho"
120,-3254.13066333881,26.7775541259078,0.177,"rho"
196,-6616.20640212822,19.6905647516862,0.655,"rho"
212,-6001.48705887941,8.70487614935584,0.126,"rho"
113,-3917.30285372571,16.1795763491473,0.133,"rho"
114,-5270.07170713789,3.17764135264757,0.139,"rho"
195,-6831.7279395404,19.3758504165576,0.649,"rho"
103,-4286.67322297724,21.4195443674584,0.07,"rho"
3,-4878.92560332713,7.98547866387391,0.07,"rho"
102,-5697.03401472561,43.2166625747771,0.063,"rho"
263,-7114.61520751554,43.6819415252643,0.447,"rho"
267,-7466.55041946161,39.4500681363403,0.473,"rho"
258,-7614.41119187127,32.8708015459726,0.416,"rho"
330,-2946.03828128582,12.7499502500431,0.24,"rho"
417,-4639.34300081723,36.3943561161317,0.158,"rho"
326,-4125.56520930174,31.8857920141394,0.214,"rho"
303,-4336.92557594126,0.904610309588978,0.07,"rho"
189,-6876.31401258831,21.6089686661433,0.611,"rho"
413,-3746.19429097348,19.7941916936326,0.133,"rho"
412,-5587.27866388417,3.13776101705657,0.126,"rho"
285,-7065.03299971913,1.40048114643946,0.586,"rho"
408,-3898.86508070696,67.3872907135931,0.101,"rho"
282,-6977.8406146291,18.3228328665687,0.567,"rho"
299,-6590.62494742978,32.417580565477,0.674,"rho"
277,-6668.23226461178,15.6157664989506,0.536,"rho"
298,-6943.85035755951,9.4974395448197,0.668,"rho"
100,-6728.9806303645,2.21387370185546,0.68,"rho"
87,-6792.4896878419,3.69627737044984,0.599,"rho"
80,-7240.61531730273,21.1180791386613,0.554,"rho"
84,-7004.00711253293,13.4923666202533,0.58,"rho"
404,-3047.21896554479,70.2116868962603,0.076,"rho"
46,-7808.51269021663,0.964330544137608,0.34,"rho"
175,-7573.95031412172,9.57274283112439,0.523,"rho"
402,-6926.84956406799,8.379650414096,0.063,"rho"
