"do_grid","loglik","loglik_se","beta_mu","beta_sd","b1","b2","b3","b4","b5","b6","iota","rho","S_0","E_0","I_0","tau"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
942,-1452.70324233528,0.304420000059844,110.154324053503,0.0961520522857685,-3.14217992705722,4.01339024490919,-18.2532363605692,-1.36795861897918,-5.51714395898448,-4.2253283355889,11.9418850608364,0.999061197787194,0.506596003473591,2.94927253076106e-06,2.49096247147858e-06,0.0228340680476767
50,-2316.6744068586,2.97258352171308,465.153063714255,0.105321128091057,1.75641919411934,-0.939379059822681,-6.09883917450149,-14.504398071305,-4.39781888749653,-5.7466703551776,13.7220224289796,0.995410880977793,0.000273594232598507,9.23972191932406e-06,9.21653425996968e-06,0.0409575130889928
738,-1436.99077367633,0.111792079708425,105.478240361468,0.0749028285372245,1.32256856162332,-0.0126424427133602,-1.22391612631179,-5.09570451143125,-1.01098842349384,-2.09114135662328,10.8062451461186,0.557930197604751,0.402215770637946,2.29112863405369e-06,5.87733622479702e-06,0.0309757271746179
215,-1465.38816102059,2.08325207193209,0.0514851606946352,0.054807223709172,9.53844061529566,8.63215661463814,8.77021745013857,7.55519057718929,8.53085972338603,8.17757729936611,9.0817641826511,0.430958933591294,0.21360093668864,5.5773149280502e-06,9.09614704655243e-07,0.0430319867975793
28,-1441.59926062127,0.114655533170299,63.3868304033443,0.0708918297182635,1.16332099279292,-0.156608711241726,-1.2426323778948,-6.95259124528101,-4.91723044521182,-4.18572649983019,10.0333770620371,0.99988476809457,0.75464505877291,4.22865731678501e-06,4.30435983996447e-07,0.0254845305390997
525,-1446.88393917773,0.215194554563721,280.848790597838,0.0945399240942245,1.18021019765352,-0.287484999829929,0.141415169218291,-10.2215705064777,1.19617726316796,-1.98585738374708,5.36307781220788,0.457339691619268,0.131055322833858,9.12952285719018e-06,1.54019017247557e-06,0.0266951752898471
976,-1464.42198533913,0.444088152415301,274.80393204633,0.0774511083263041,1.44519866096592,-0.762475758250132,0.181362751544269,-7.6428182182972,-8.21515828876306,-2.21456176932357,8.69244263707009,0.566588306847433,0.123527221890442,1.0137748207172e-06,2.92269267493973e-06,0.0358051458441634
989,-1449.46558289766,0.122525359082119,896.25869546345,0.128643183709421,-16.5895820280059,-8.30637212490251,-16.4988584524932,-6.60156553361002,-14.0439733499871,-3.98492203093468,10.2952694343923,0.281475780502184,0.110039331136222,9.01208445684439e-07,3.17582923954395e-06,0.0311778016032031
438,-1430.99312927388,0.437489695034964,17.5015454046298,0.0812441483427094,4.18378765222842,3.30941203555703,3.52200881451866,2.31506962907136,3.37167780985999,2.58791969189144,14.2001617197877,0.338405259553726,0.144163348033549,8.83604132646991e-07,7.43618885567883e-06,0.0268077313699555
432,-1465.11811674723,0.289990451441518,855.428663941853,0.149760944212289,-14.3153850094303,2.75670323624649,-3.93129236525666,-2.33372533698758,-8.16327391688827,-8.62941426218604,15.2460718874613,0.318549036295444,0.0849478331685026,8.4022993000345e-06,4.08123779077978e-06,0.0642760173410467
426,-1438.59955322656,0.21863961095049,270.794370060198,0.107693273645556,2.44440796277707,-1.52741441626702,0.316373072383764,-12.8229306783943,-4.94347678330919,-11.6553782136226,16.9242800784171,0.500934840755712,0.177413475891207,5.48991168591658e-06,1.012455130563e-06,0.0244211194265463
1000,-1453.09227020912,0.295908252144667,225.469399564972,0.100748026228939,1.95484762218784,-0.215309917432806,0.210429863335658,-4.77289995621354,1.05932456707099,-1.50324710111525,9.83760153554593,0.322989507549639,0.152915895197797,4.33639564058843e-06,4.81530291498954e-06,0.0404290653295422
437,-1445.82105336736,0.460088991468826,741.658471584185,0.117618233813986,1.19185449716314,0.779092269798138,-10.4344533382893,-1.87273216904224,-25.1880813706586,-12.728396098677,11.6357603561615,0.304420693910813,0.091646556179432,5.86958395618072e-06,3.16936532228151e-06,0.0438469382733961
999,-1441.84672314535,0.777523721827099,542.113268311165,0.0934601273849402,1.29763516325224,-0.649955010878948,0.933640534570106,-10.0691836897814,1.63022578626945,-2.78455459487436,9.42405493303009,0.300822401282956,0.0885196986520344,8.34066272335609e-07,4.88602020883256e-06,0.044654939598111
709,-1453.7736241192,0.159715811540544,656.602939715684,0.135852468969719,-19.3019741244441,-0.65879236824904,-7.640953212032,-4.65366306835518,-3.1915822276249,-10.6976190148365,12.8465440193735,0.352680045878179,0.119020540204593,4.30995494857232e-06,4.78996994569801e-06,0.0337451937338022
980,-1499.86059619332,0.366865566381844,281.511392950081,0.0955522560365908,1.3128930582036,0.0726916643770935,-1.24525112497903,-2.51298164841951,-9.70054693217976,-2.80942374746431,16.2214215600864,0.559883559089822,0.0937890542618247,1.11512997982271e-05,3.48329303123824e-06,0.0425341672506454
429,-1429.38344297828,0.200099458589395,459.068118797368,0.10166474380837,-0.093245855313963,0.742502859933232,-1.82088323409868,-2.33413645936201,-10.6453176021971,0.0765114914676529,12.9393563412888,0.28907920566847,0.12398179295106,5.64496979998228e-06,4.53928305524027e-06,0.0431094281441878
428,-1437.82515183854,0.170223030432638,536.392749515683,0.0963667258087996,1.35693624777283,-0.758376293888592,-0.852297699080372,-18.5701484396283,-2.79607089667474,-3.78016650679443,13.4782993477869,0.352738450150768,0.0974637152135178,4.7234248121045e-06,4.75862751364589e-06,0.051255405788714
436,-1426.40006803933,0.0831535934715379,583.206756025321,0.0930566321973938,1.44350068734109,-0.512097850729815,0.601321053453563,-8.0828365618162,-2.44992342109132,-2.24244193893312,8.35911466521074,0.290834878955417,0.122266534886349,4.21798733202631e-06,5.03737848814783e-06,0.0548293152659264
521,-1428.53699302227,0.0716340201106055,638.677932351122,0.0984611575379505,0.639944913506543,-0.735598445662961,0.292693582082678,-21.8813680793294,-5.10096263337934,-2.24176172114133,9.31671231424041,0.301323330800822,0.112101673942608,9.82197709518521e-06,6.39971300544225e-06,0.0461556460251655
434,-1439.24776805103,1.39290366139623,546.702271361969,0.0877940671521354,1.8102385296051,-1.2326179143418,-0.0210134146279241,-7.86157134987186,-4.53699352855313,-4.19395283512277,12.6105715777477,0.295675123033924,0.102880190080949,6.85529237358772e-06,1.28324300095467e-05,0.0414052190100041
710,-1455.92464990566,0.153203989984111,552.078932077473,0.13344381612797,-5.19287888013506,3.58344674356788,-7.80815872835751,-7.69810285907662,-2.28946069829756,-18.8663881878198,6.53387128294719,0.377570688809141,0.111310732841241,5.06550757878052e-06,1.07022858088189e-05,0.0376259521523238
996,-1418.87716656269,0.0870598852448628,107.270190398824,0.0899730529150253,2.70105767281428,1.42015594023009,1.71841269613983,0.2633805531311,1.24210509623912,0.986902796707026,11.6915017259926,0.258336755191152,0.165652847883685,4.53401681716502e-06,5.22673769219396e-06,0.0380256360521799
516,-1464.63377033786,0.128892433533245,1068.09824866578,0.184548092252773,-15.3482726072757,8.03628683366975,-17.0800742504341,-7.33524732135986,-14.1319732961562,2.71689544672874,16.5126176196068,0.306130441312327,0.0765898472024327,7.71994793887597e-06,8.68650540711957e-06,0.0324682003125366
442,-1439.18442833601,0.199501556081237,343.823475702733,0.0914434896613539,1.813539884917,-0.566718914952024,0.194616581752555,-8.43828430226833,-1.31772214010847,-1.84649443232464,6.08109888095949,0.356165113738175,0.12506573116595,4.8368359875753e-06,1.42881129053234e-06,0.0271677358617807
572,-1456.58279327353,0.360420919756291,575.427161243756,0.128384576743616,-15.3862620550511,6.57036852523056,-11.237094618327,-6.35351086810722,-8.89841127608321,-4.64981432796664,8.42682912446829,0.329766420084178,0.118699316811827,3.54830525519386e-06,5.3951869216055e-06,0.0359818574421655
422,-1426.04528774012,0.146133627009663,490.613232298001,0.0965199563118704,2.10372311906169,-1.11627054572698,0.751546517776201,-10.6675990127776,-12.1487542466143,-5.03324064060092,13.3599851789193,0.292251249547507,0.125043124290369,4.43903427820842e-06,1.48694506965016e-06,0.0270636004692034
997,-1424.11258107257,0.0688971137362577,577.39471029887,0.101683546289654,-0.24117686036552,1.0054383531821,-7.06904958175765,-2.17456616943454,-11.2368891846866,-0.950990255322163,13.4823410897782,0.304488172135039,0.126968818036762,1.43575877808171e-06,1.79217513662766e-06,0.0339217003075363
