"do_grid","loglik","loglik_se","beta_mu","beta_sd","b1","b2","b3","b4","b5","b6","iota","rho","S_0","E_0","I_0","tau"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
785,-969.66919504097,0.416205558139019,122.753239409901,0.0913008480539353,-8.3149234846581,4.03160621876717,-6.87037084823749,1.39635549848269,-11.1664491049807,4.52410966088372,7.2247877943319,0.758356719300243,0.428848813129594,2.10762848769613e-05,1.22946756951923e-05,0.0510219980895104
415,-970.67298265878,0.150471346291115,103.282666420509,0.0700124900706537,-7.42517204589907,2.59813588017845,-3.76577930558244,-4.17775042220785,-7.82800109329053,-20.0713658258489,6.37603092579188,0.999999258125193,0.545148197766199,8.34947902549795e-06,9.42392140014122e-06,0.0503667331482454
669,-974.519309961753,0.102675796254093,115.474518081351,0.106586378250244,-20.518274702987,3.54753595291001,-1.80336380804108,-6.87883794085983,-4.3713272228951,1.83696585295124,11.4566857170957,0.967736619644469,0.510020817453347,1.94865544275599e-05,1.30290388005012e-06,0.066316319235108
942,-965.847857884798,0.174985719489613,110.275571540479,0.107109499115075,-2.16455351191076,0.587298570540274,-0.43657916529601,-14.7992472858143,-1.63126114209472,0.57172442701676,8.19507474142676,0.590877778169683,0.507777315729239,6.80473930521365e-06,4.07981630266565e-06,0.0267195414359474
75,-975.825854178483,0.290148862626655,212.292704915309,0.10417666729329,-3.29184465276742,-5.33828553074576,-10.0971138215517,-1.62208085229561,-9.02976186215571,-2.69610163585969,8.74265680240332,0.703306256474421,0.294231488163757,7.51170182334586e-06,8.12687894216069e-06,0.065379337009028
390,-974.621934967042,0.229016239242722,147.355179456989,0.0980369919184009,-4.95707739734076,-17.6312959935156,-2.51778821516463,-8.69320790559727,-1.27849517549571,0.612882508337129,7.15724126032211,0.999994105865019,0.4223545547779,6.44526484037658e-06,1.85884453999614e-06,0.0664276181682977
215,-965.74516359272,0.137112826504487,125.309684513803,0.0794624091614067,-1.08720476581593,-0.190862804241645,0.15488111645648,-3.49694226342004,0.743690359549998,-0.114689632698331,5.82233386732021,0.999998311197627,0.318629865484226,7.14668609267172e-06,2.71936476288295e-06,0.0914635618909808
999,-979.843937690357,0.20819906078956,204.478654997893,0.174165045882656,-6.57053607857239,-15.4707949042554,-3.61699155781004,-15.1090744510864,0.185056436872921,-2.62586952027021,12.8528609066459,0.578543828619091,0.337964262959812,1.79896778790544e-05,1.04031655173522e-05,0.0337882481975291
473,-973.699817294876,0.321135659128502,110.592508133738,0.129947237083764,-7.23525090585418,-14.0393283821952,-11.4815299219121,-1.11070488516285,-3.01212113117223,-0.859941028362728,7.40854607242164,0.611925282957185,0.702685753046526,8.87207698804948e-06,1.69030360511662e-06,0.0761019020174795
864,-965.656876280391,0.120067363322161,89.013644849797,0.0812445418844228,-2.24025989558361,1.40446565414008,-1.12699370284145,-8.09792636874727,0.386399731654622,-2.75480363661501,7.34346699361069,0.999780097008698,0.590512082453812,9.06392302695863e-06,3.65508100798897e-06,0.103417256140525
