Parameter,median_value,upper_95,lower_95,upper_50,lower_50
S[89],393997,394027,393975,394008,393990
S[90],395444,395473,395423,395454,395437
S[91],396891,396920,396870,396901,396885
S[92],398339,398367,398318,398348,398332
S[93],399787,399814,399766,399795,399780
S[94],401235,401262,401215,401244,401229
S[95],402684,402711,402664,402692,402677
S[96],404132,404160,404113,404141,404126
S[97],405581,405609,405563,405590,405575
S[98],407030,407058,407012,407039,407024
S[99],408479,408508,408461,408488,408473
S[100],409928,409957,409909,409937,409921
S[101],411377,411406,411357,411386,411370
S[102],412825,412856,412805,412834,412818
S[103],414273,414304,414251,414282,414265
S[104],415720,415753,415696,415730,415712
S[105],417167,417201,417139,417177,417158
S[106],418656,418692,418623,418666,418646
S[107],420144,420182,420103,420154,420132
S[108],421630,421673,421580,421641,421615
S[109],423113,423163,423053,423126,423096
S[110],424593,424652,424524,424610,424572
S[111],426069,426140,425992,426091,426045
S[112],427542,427626,427456,427568,427513
S[113],429013,429111,428920,429044,428980
S[114],430486,430596,430387,430520,430448
S[115],431962,432083,431857,431999,431921
S[116],433441,433570,433332,433481,433397
S[117],434922,435059,434809,434967,434877
S[118],436406,436548,436291,436454,436361
S[119],437891,438037,437775,437942,437847
S[120],439379,439527,439261,439430,439334
S[121],440867,441017,440748,440919,440822
S[122],442356,442507,442236,442408,442311
S[123],443846,443998,443725,443896,443800
S[124],445336,445488,445214,445386,445289
S[125],446826,446978,446704,446875,446778
S[126],448315,448469,448190,448365,448266
S[127],449804,449960,449673,449855,449752
S[128],451292,451452,451151,451345,451238
S[129],452780,452943,452617,452835,452724
S[130],454265,454433,454079,454325,454205
S[131],455751,455923,455534,455814,455677
S[132],457279,457457,457036,457346,457192
S[133],458808,458990,458543,458875,458715
S[134],460336,460521,460050,460403,460238
S[135],461863,462050,461562,461928,461758
S[136],463384,463578,463075,463451,463275
S[137],464899,465104,464590,464974,464786
S[138],466407,466628,466107,466499,466288
S[139],467917,468153,467627,468024,467784
S[140],469424,469677,469149,469551,469277
S[141],470933,471203,470675,471078,470774
S[142],472443,472729,472197,472605,472275
S[143],473946,474256,473715,474132,473786
S[144],475454,475783,475230,475661,475307
S[145],476963,477310,476743,477191,476831
S[146],478478,478838,478263,478722,478355
S[147],479996.5,480367,479787,480253,479883
S[148],481523,481898,481305,481783,481412
S[149],483051,483430,482820,483307,482939
S[150],484579,484962,484334,484825,484464
S[151],486109,486494,485844,486346,485988
S[152],487639,488026,487339,487871,487509
S[153],489169,489558,488825,489396,489026
S[154],490699,491091,490266,490924,490542
S[155],492199,492623,491568,492453,492041
S[156],493691,494154,492449,493976,493504
sigma_gamma,0.4591092447609555,1.137285305294104,0.15402820958752161,0.6500071580208142,0.2737763751325414
theta,19.621251061791813,25.821755489571526,13.18663783649952,20.20179928167809,13.948833753934753
