Parameter,median_value,upper_95,lower_95,upper_50,lower_50
Rnaught[27],2.4329576283106166e-6,3.966926711608623e-6,1.4004720094955939e-6,2.8858222899343267e-6,2.028395279138474e-6
Rnaught[28],2.480808182815592e-6,3.94988255429158e-6,1.4565733674914545e-6,2.9259946697488945e-6,2.0782915443969407e-6
Rnaught[29],2.5237782887948857e-6,3.9109001984244315e-6,1.5065465931358129e-6,2.9450054446624992e-6,2.128593262250443e-6
Rnaught[30],2.549772895225706e-6,3.8546137552689045e-6,1.5498259119500748e-6,2.9397145692262033e-6,2.1868672333721086e-6
Rnaught[31],2.563679574962064e-6,3.9171234478715446e-6,1.5823355858677072e-6,2.9631126933933043e-6,2.209638161675368e-6
Rnaught[32],2.574076914476131e-6,3.901424470684726e-6,1.5977573451542093e-6,2.9753786115442965e-6,2.2305281888928365e-6
Rnaught[33],2.580390257234437e-6,3.88665215104795e-6,1.6109961399837555e-6,3.0029948312051055e-6,2.2055865147931283e-6
Rnaught[34],2.5827380850514744e-6,3.897912913224813e-6,1.6182441750517676e-6,3.002617869283508e-6,2.2047347034631517e-6
Rnaught[35],2.568606058971193e-6,3.927197320357412e-6,1.596175247069485e-6,2.9934038002654112e-6,2.2027026850122854e-6
Rnaught[36],2.558454196960514e-6,4.008863435801772e-6,1.5687958500513614e-6,2.9896738554699843e-6,2.1864175812207326e-6
Rnaught[37],2.5443885589317286e-6,4.002416099259092e-6,1.5538265933863479e-6,2.978545989777115e-6,2.1649219580202183e-6
Rnaught[38],2.5316249917886666e-6,4.02113826272464e-6,1.52715000875524e-6,2.967466234454207e-6,2.1432583556095055e-6
Rnaught[39],2.4977276333740697e-6,3.961715038190359e-6,1.4960684868045013e-6,2.9427290332894832e-6,2.1123535677346136e-6
Rnaught[40],2.485161135367019e-6,4.018213626688567e-6,1.4485106600998956e-6,2.935777493090599e-6,2.0946193694918514e-6
Rnaught[41],2.467691857652568e-6,3.98745390200882e-6,1.4241779082378898e-6,2.9221771675584433e-6,2.0685521111294004e-6
Rnaught[42],2.4474887983412366e-6,4.0085941869197456e-6,1.3875965451042426e-6,2.907984892199767e-6,2.042132078850608e-6
Rnaught[43],2.433080507558971e-6,3.96953547139568e-6,1.386171064877669e-6,2.8765415073503064e-6,2.02978412122733e-6
Rnaught[44],2.414351376508678e-6,3.915695663816432e-6,1.3937408387599666e-6,2.8482150594633564e-06,2.0198960659409896e-6
Rnaught[45],2.3618898564155584e-6,3.817490765047006e-6,1.3664644127608067e-6,2.7840635430587135e-6,1.987740532922496e-6
Rnaught[46],2.3115176834431733e-6,3.6213694144255265e-6,1.3589559286345908e-6,2.7196137689280946e-6,1.9475109161623277e-6
Rnaught[47],2.264103518378558e-6,3.520589748044628e-6,1.3517552387368043e-6,2.6480867778866897e-6,1.928181393095978e-6
Rnaught[48],2.2223265689501373e-6,3.4533020846779406e-6,1.3393650847629192e-6,2.5995238225352148e-6,1.8923066416235792e-6
Rnaught[49],2.198749765506547e-6,3.333264456413474e-6,1.327240291165464e-6,2.546392392597869e-6,1.8720939373749647e-6
Rnaught[50],2.1776211531817225e-6,3.2821065648714885e-6,1.329349122258531e-6,2.5160509231985664e-6,1.8700246431110175e-6
Rnaught[51],2.171495467405285e-6,3.266274933812417e-6,1.355575772153983e-6,2.4917771990429814e-6,1.8629928400232499e-6
Rnaught[52],2.177869126074992e-6,3.2855212156739567e-6,1.4136715224964601e-6,2.502467128056832e-6,1.8929945608306283e-6
Rnaught[53],2.207478503546348e-6,3.356665825419785e-6,1.4321311765957837e-6,2.534219793485543e-6,1.9126665478228775e-6
Rnaught[54],2.225121568828969e-6,3.354823691120558e-6,1.4405226870345452e-6,2.560928239757865e-6,1.9390608830471563e-6
Rnaught[55],2.261705907194252e-6,3.438813421148087e-6,1.4721521616752382e-6,2.5914447304660974e-6,1.9681196387559898e-6
Rnaught[56],2.2868419167830556e-6,3.4040096782803862e-6,1.4938348533574486e-06,2.6152375460658293e-6,1.998297124161504e-6
Rnaught[57],2.303468560586354e-6,3.3993667777981444e-6,1.4876600953358568e-6,2.6334360311781594e-6,2.0056353054743863e-6
Rnaught[58],2.3182843376832775e-6,3.433248804011386e-6,1.5137854189956244e-6,2.645022162361267e-6,2.016063471209635e-6
Rnaught[59],2.304254418617253e-6,3.442380906430872e-6,1.521131829418447e-6,2.641873814041353e-6,2.005970075741789e-6
Rnaught[60],2.317443516330501e-6,3.507786378604642e-6,1.5076529223844438e-6,2.6518532272785936e-6,2.0153859109744853e-6
Rnaught[61],2.308948672278909e-6,3.5164583056548797e-6,1.4857478422467328e-6,2.656968981780412e-6,2.006839478955481e-6
Rnaught[62],2.301791057270854e-6,3.539412775455652e-6,1.4769482918789828e-6,2.670510844486405e-6,1.987713886550671e-6
Rnaught[63],2.2797188637985457e-6,3.5816953542796016e-6,1.44218922112738e-6,2.6559013163220135e-6,1.954505355948663e-6
Rnaught[64],2.272963350159053e-6,3.569950108327588e-6,1.4039190827752452e-6,2.655819709506197e-6,1.9382143971120074e-6
Rnaught[65],2.2626805502986997e-6,3.562264977882518e-6,1.3746070099458805e-6,2.6471178943838435e-6,1.9263721153890863e-6
Rnaught[66],2.2623286965829707e-6,3.6059078227639833e-6,1.3720847484548125e-6,2.653402663259307e-6,1.914274361046548e-6
Rnaught[67],2.2328649582195077e-6,3.5443106504356112e-6,1.3371881790030115e-6,2.627293639195887e-6,1.8867171911369994e-6
Rnaught[68],2.1815616783614566e-6,3.45196208167752e-6,1.29845184758322e-6,2.572437974055162e-6,1.848496682735521e-6
Rnaught[69],2.1366744553350324e-6,3.3636735954221838e-6,1.2745967275285974e-6,2.5232779683737895e-6,1.8071524898548038e-6
Rnaught[70],2.088343491165558e-6,3.323385151688961e-6,1.2293625534245073e-6,2.4501503976645188e-6,1.7691206747154989e-6
Rnaught[71],2.052468022738885e-6,3.259833690048128e-6,1.2243221798456906e-6,2.404257368194605e-6,1.7389598530915972e-6
Rnaught[72],2.015763476340908e-6,3.186799115875843e-6,1.204381495597984e-6,2.3698462993012736e-6,1.7074237350762992e-6
